Stock,Varana,Saba,BHR,Proxima,Owl_Creek,Elm_Ridge,Knightsbridge,King_Street,Shapiro,Regiment,Brigade,Fine
QEP,0,0,1,0,0,0,0,0,1,0,0,0
QSII,0,0,0,0,0,0,0,0,0,0,0,0
QUAD,0,0,0,0,0,1,1,0,0,0,0,0
RAD,0,1,0,0,0,0,0,0,0,0,1,0
RDN,0,1,0,0,0,0,0,0,0,1,0,0
REG,0,0,0,0,0,1,1,0,0,0,0,0
RESI,0,0,1,0,0,0,0,0,0,0,0,0
RF,0,0,0,0,0,0,0,0,0,0,0,1
RIG,0,1,0,1,0,0,0,0,0,0,0,0
RKT,0,0,0,1,0,0,0,0,0,0,0,0
ROP,0,0,1,0,0,0,0,0,0,0,0,0
RRD,0,0,0,0,0,1,1,0,0,0,0,0
RSH,0,1,0,0,0,0,0,0,0,0,0,0
RTI,0,0,0,0,0,1,1,0,0,0,0,0
S,0,0,0,0,1,0,0,0,0,0,0,0
SATS,0,0,0,0,0,0,0,0,0,1,0,0
SB,0,0,0,0,0,0,0,0,0,1,0,0
SBW,0,1,0,0,0,0,0,0,0,0,0,0
SBY,0,0,0,0,0,1,1,0,0,0,0,0
SCD,0,1,0,0,0,0,0,0,0,0,0,0
SD,0,0,0,0,0,0,0,0,0,0,1,0
SDLP,0,0,1,0,0,0,0,0,0,0,0,0
SEE,1,0,0,0,0,0,0,1,0,0,0,0
SEM,0,0,0,0,0,0,0,0,0,1,0,0
SFXE,1,0,0,0,0,0,0,0,0,0,0,0
SGL,0,1,0,0,0,0,0,0,0,0,0,0
SGMS,0,0,0,0,0,0,0,0,0,0,0,1
SHLD,0,0,0,0,0,0,0,0,0,0,0,1
SHOS,0,0,0,0,0,0,0,0,0,0,0,1
SIX,0,0,1,0,0,0,0,0,0,0,0,0
SNDK,0,0,0,1,0,0,0,0,0,0,0,0
SNI,0,0,0,0,0,0,0,0,1,0,0,0
SNV,0,1,0,0,0,0,0,0,0,0,0,1
SPB,0,0,1,0,0,0,0,0,0,0,0,0
SPLS,0,1,0,0,0,0,0,0,0,0,0,0
SPN,0,0,0,0,0,0,0,0,0,0,1,0
SPR,0,0,0,0,1,0,0,0,0,0,0,0
SPY,0,0,0,0,0,0,0,0,1,0,0,0
SQNM,0,0,0,1,0,0,0,0,0,0,0,0
SRS,0,0,0,0,0,0,0,0,0,1,0,0
STM,0,0,0,1,0,0,0,0,0,0,0,0
STNG,0,0,1,0,0,0,0,0,0,0,0,0
STRA,0,0,0,0,0,0,0,0,0,1,0,0
STZ,0,0,0,0,0,0,0,0,1,0,0,0
SUNE,0,0,0,1,0,0,0,0,0,0,0,0
SVU,1,0,0,0,0,1,1,1,0,0,1,0
SWK,0,1,0,0,0,0,0,0,0,0,0,0
SWY,0,1,0,0,0,1,1,0,0,0,0,0
SYA,0,0,0,0,0,0,0,0,0,0,0,1
TAP,0,0,0,0,0,0,0,0,1,0,0,0
TAST,0,0,0,0,0,0,0,0,0,0,1,0
TC/PT,0,1,0,0,0,0,0,0,0,0,0,0
TCBI,0,0,0,0,0,1,1,0,0,0,0,0
TCO,0,0,0,0,0,1,1,0,0,0,0,0
TDG,0,0,0,0,0,1,1,0,0,0,0,0
TDW,0,0,0,0,0,0,0,0,1,0,0,0
TECD,0,0,0,0,0,1,1,0,0,0,0,0
TFSL,1,0,0,0,0,0,0,0,0,0,0,1
TGI,0,0,0,0,0,0,0,0,0,0,1,0
THC,0,1,0,0,0,0,0,0,0,0,0,0
THR,0,1,0,0,0,0,0,0,0,0,0,0
TK,0,1,0,0,0,0,0,0,0,0,0,0
TKR,0,0,0,1,0,0,0,0,0,0,0,0
TPLM,1,0,0,0,0,0,0,0,0,0,0,0
TROX,0,0,0,0,0,0,0,0,0,0,0,1
TSRE,0,0,1,0,0,0,0,0,0,0,0,0
TWC,0,1,0,0,0,0,0,0,0,0,0,0
TWGP,0,0,1,1,0,0,0,0,0,0,0,0
TWO,0,0,0,0,0,0,0,0,0,0,1,0
TWTC,0,0,1,0,0,0,0,0,0,0,0,0
UA,0,0,0,0,0,1,1,0,0,0,0,0
UAL,0,0,0,1,0,1,1,0,0,0,0,0
UFS,0,0,0,0,0,1,1,0,0,0,0,0
UHS,0,1,0,0,0,0,0,0,0,0,1,0
ULTA,0,0,0,0,0,1,1,0,0,0,0,0
UPL,0,0,0,0,0,0,0,0,1,0,0,0
USG,0,0,0,0,0,1,1,0,0,0,1,0
USU,0,0,0,1,0,0,0,0,0,0,0,0
VAC,0,0,0,0,0,1,1,0,0,0,0,0
VC,0,0,0,0,1,0,0,0,0,0,0,0
VCIT,0,1,0,0,0,0,0,0,0,0,0,0
VCLT,0,1,0,0,0,0,0,0,0,0,0,0
VCSH,0,1,0,0,0,0,0,0,0,0,0,0
VLO,0,0,1,0,0,0,0,0,0,0,0,0
VLT,0,1,0,0,0,0,0,0,0,0,0,0
VMC,0,0,0,0,0,1,1,0,0,0,0,0
VOYA,1,0,0,0,0,0,0,0,0,0,0,0
VRNT,0,0,0,1,0,0,0,0,1,0,0,0
VTA,0,1,0,0,0,0,0,0,0,0,0,0
WAC,1,0,0,0,0,0,0,0,0,0,1,0
WAFDW,0,0,0,0,0,0,0,1,0,0,0,0
WEN,0,1,0,0,0,0,0,0,0,0,0,0
WFC_PJ,0,0,0,0,0,0,0,0,1,0,0,0
WFT,0,1,0,0,0,1,1,0,0,0,0,0
WLP,0,0,0,0,0,1,1,0,0,0,0,0
WLT,0,0,0,0,0,0,0,0,0,0,1,0
WOOF,0,0,0,0,0,0,0,0,1,0,0,0
WPC,0,0,1,0,0,0,0,0,0,0,0,0
WPX,0,0,0,0,0,0,0,0,1,0,0,0
WWAV,0,0,0,0,0,0,0,0,1,0,0,0
X,0,1,0,0,0,1,1,0,0,0,0,0
XCO,0,0,0,0,0,0,0,0,0,1,0,0
XLS,1,0,0,0,0,0,0,0,1,0,0,0
XRX,0,0,0,1,0,0,0,0,0,0,0,0
XTXI,0,1,0,0,0,0,0,0,0,0,1,0
XYL,0,0,0,1,0,0,0,0,1,0,0,0
YHOO,0,0,0,0,1,0,0,0,0,0,0,0
YOKU,0,0,0,0,1,0,0,0,0,0,0,0
YPF,0,0,0,1,0,0,0,1,0,0,0,0
ZBRA,0,0,0,0,0,0,0,0,1,0,0,0
ZFC,0,0,1,0,0,0,0,0,0,0,0,0
