Ticker,White.Elm.Capital,Viking.Global,Greenlight.Capital,Thirdpoint,Highline.Capital,Hoplite.Capital,Tiger.Consumer,Tiger.Global
GMLP,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
GDX,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
FSC,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
XME,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
XLY,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
HLF,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
WCC,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
ABC,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
TK,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
GLNG,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
DAL,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
UTIW,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
FDS880050,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
FDS2378D8,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
